Timestamp (sec.nanosec),Frame ID,x,y,z
1700100144.542727903, DW5185, 3.0, 1.5, 2.5
1700100144.639089238, DW5188, 1.5, 0.0, 2.5
1700100144.640590772, HO2165, 1.5, 0.5, 1.5
1700100144.641392199, FJ9876, 1.5, 3.0, 2.5
1700100144.642098231, DW5185, 3.0, 1.5, 2.5
1700100144.739027682, DW5188, 1.5, 0.0, 2.5
1700100144.740369721, HO2165, 1.5, 0.5, 1.5
1700100144.741165191, FJ9876, 1.5, 3.0, 2.5
1700100144.741839644, DW5185, 3.0, 1.5, 2.5
1700100144.839090817, DW5188, 1.5, 0.0, 2.5
1700100144.840389444, HO2165, 1.5, 0.5, 1.5
1700100144.841124764, FJ9876, 1.5, 3.0, 2.5
1700100144.841775376, DW5185, 3.0, 1.5, 2.5
1700100144.939302510, DW5188, 1.5, 0.0, 2.5
1700100144.940906725, HO2165, 1.5, 0.5, 1.5
1700100144.941753439, FJ9876, 1.5, 3.0, 2.5
1700100144.942475571, DW5185, 3.0, 1.5, 2.5
1700100145.38845660, DW5188, 1.5, 0.0, 2.5
1700100145.39899536, HO2165, 1.5, 0.5, 1.5
1700100145.40571763, FJ9876, 1.5, 3.0, 2.5
1700100145.41172404, DW5185, 3.0, 1.5, 2.5
1700100145.138646998, DW5188, 1.5, 0.0, 2.5
1700100145.139820197, HO2165, 1.5, 0.5, 1.5
1700100145.140474154, FJ9876, 1.5, 3.0, 2.5
1700100145.141051782, DW5185, 3.0, 1.5, 2.5
1700100145.238727342, DW5188, 1.5, 0.0, 2.5
1700100145.239879262, HO2165, 1.5, 0.5, 1.5
1700100145.240544292, FJ9876, 1.5, 3.0, 2.5
1700100145.241155708, DW5185, 3.0, 1.5, 2.5
1700100145.338888241, DW5188, 1.5, 0.0, 2.5
1700100145.340302849, HO2165, 1.5, 0.5, 1.5
1700100145.341071743, FJ9876, 1.5, 3.0, 2.5
1700100145.341775143, DW5185, 3.0, 1.5, 2.5
1700100145.439748616, DW5188, 1.5, 0.0, 2.5
1700100145.440443593, HO2165, 1.5, 0.5, 1.5
1700100145.440753313, FJ9876, 1.5, 3.0, 2.5
1700100145.441034574, DW5185, 3.0, 1.5, 2.5
1700100145.538693019, DW5188, 1.5, 0.0, 2.5
1700100145.539921598, HO2165, 1.5, 0.5, 1.5
1700100145.540753614, FJ9876, 1.5, 3.0, 2.5
1700100145.541538996, DW5185, 3.0, 1.5, 2.5
1700100145.639276007, DW5188, 1.5, 0.0, 2.5
1700100145.641178755, HO2165, 1.5, 0.5, 1.5
1700100145.642334477, FJ9876, 1.5, 3.0, 2.5
1700100145.642545822, DW5185, 3.0, 1.5, 2.5
1700100145.738650012, DW5188, 1.5, 0.0, 2.5
1700100145.740000930, HO2165, 1.5, 0.5, 1.5
1700100145.740787085, FJ9876, 1.5, 3.0, 2.5
1700100145.741490980, DW5185, 3.0, 1.5, 2.5
1700100145.838751971, DW5188, 1.5, 0.0, 2.5
1700100145.840041905, HO2165, 1.5, 0.5, 1.5
1700100145.840756753, FJ9876, 1.5, 3.0, 2.5
1700100145.841392866, DW5185, 3.0, 1.5, 2.5
1700100145.938962286, DW5188, 1.5, 0.0, 2.5
1700100145.940431566, HO2165, 1.5, 0.5, 1.5
1700100145.941243734, FJ9876, 1.5, 3.0, 2.5
1700100145.941943656, DW5185, 3.0, 1.5, 2.5
1700100146.38817386, DW5188, 1.5, 0.0, 2.5
1700100146.40209302, HO2165, 1.5, 0.5, 1.5
1700100146.41030812, FJ9876, 1.5, 3.0, 2.5
1700100146.41870233, DW5185, 3.0, 1.5, 2.5
1700100146.138958052, DW5188, 1.5, 0.0, 2.5
1700100146.140333103, HO2165, 1.5, 0.5, 1.5
1700100146.141304748, FJ9876, 1.5, 3.0, 2.5
1700100146.142251100, DW5185, 3.0, 1.5, 2.5
1700100146.238984421, DW5188, 1.5, 0.0, 2.5
1700100146.240551852, HO2165, 1.5, 0.5, 1.5
1700100146.241406586, FJ9876, 1.5, 3.0, 2.5
1700100146.242158695, DW5185, 3.0, 1.5, 2.5
1700106775.359657647, DW5188, 1.5, 0.0, 2.5
1700106775.360369114, HO2165, 3.0, 0.5, 1.0
1700106775.360773246, FJ9876, 1.5, 3.0, 2.5
1700106775.361146980, DW5185, 3.0, 1.5, 2.5
1700106775.460493603, DW5188, 1.5, 0.0, 2.5
1700106775.462149724, HO2165, 3.0, 0.5, 1.0
1700106775.463046855, FJ9876, 1.5, 3.0, 2.5
1700106775.463869900, DW5185, 3.0, 1.5, 2.5
1700106775.560374643, DW5188, 1.5, 0.0, 2.5
1700106775.561630190, HO2165, 3.0, 0.5, 1.0
1700106775.562337934, FJ9876, 1.5, 3.0, 2.5
1700106775.562980241, DW5185, 3.0, 1.5, 2.5
1700106775.660489983, DW5188, 1.5, 0.0, 2.5
1700106775.662121590, HO2165, 3.0, 0.5, 1.0
1700106775.663008005, FJ9876, 1.5, 3.0, 2.5
1700106775.663814756, DW5185, 3.0, 1.5, 2.5
1700106775.760532625, DW5188, 1.5, 0.0, 2.5
1700106775.762000637, HO2165, 3.0, 0.5, 1.0
1700106775.762792997, FJ9876, 1.5, 3.0, 2.5
1700106775.763514142, DW5185, 3.0, 1.5, 2.5
1700106775.860469204, DW5188, 1.5, 0.0, 2.5
1700106775.861803165, HO2165, 3.0, 0.5, 1.0
1700106775.862557450, FJ9876, 1.5, 3.0, 2.5
1700106775.863212550, DW5185, 3.0, 1.5, 2.5
1700106775.960725978, DW5188, 1.5, 0.0, 2.5
1700106775.962273966, HO2165, 3.0, 0.5, 1.0
1700106775.963104163, FJ9876, 1.5, 3.0, 2.5
1700106775.963850971, DW5185, 3.0, 1.5, 2.5
1700106776.60363263, DW5188, 1.5, 0.0, 2.5
1700106776.61665310, HO2165, 3.0, 0.5, 1.0
1700106776.62384423, FJ9876, 1.5, 3.0, 2.5
1700106776.63009599, DW5185, 3.0, 1.5, 2.5
1700106776.160556727, DW5188, 1.5, 0.0, 2.5
1700106776.161835295, HO2165, 3.0, 0.5, 1.0
1700106776.162560923, FJ9876, 1.5, 3.0, 2.5
1700106776.163217492, DW5185, 3.0, 1.5, 2.5
1700106776.260225608, DW5188, 1.5, 0.0, 2.5
1700106776.261500182, HO2165, 3.0, 0.5, 1.0
1700106776.262223312, FJ9876, 1.5, 3.0, 2.5
1700106776.262871799, DW5185, 3.0, 1.5, 2.5
1700106776.361043517, DW5188, 1.5, 0.0, 2.5
1700106776.362839075, HO2165, 3.0, 0.5, 1.0
1700106776.363803699, FJ9876, 1.5, 3.0, 2.5
1700106776.364663773, DW5185, 3.0, 1.5, 2.5
1700106776.460283121, DW5188, 1.5, 0.0, 2.5
1700106776.461106329, HO2165, 3.0, 0.5, 1.0
1700106776.462031939, FJ9876, 1.5, 3.0, 2.5
1700106776.462667369, DW5185, 3.0, 1.5, 2.5
1700106776.560571495, DW5188, 1.5, 0.0, 2.5
1700106776.562018275, HO2165, 3.0, 0.5, 1.0
1700106776.562808624, FJ9876, 1.5, 3.0, 2.5
1700106776.563513819, DW5185, 3.0, 1.5, 2.5
1700106776.660238156, DW5188, 1.5, 0.0, 2.5
1700106776.661508667, HO2165, 3.0, 0.5, 1.0
1700106776.662219662, FJ9876, 1.5, 3.0, 2.5
1700106776.662851216, DW5185, 3.0, 1.5, 2.5
1700106776.760568877, DW5188, 1.5, 0.0, 2.5
1700106776.762006950, HO2165, 3.0, 0.5, 1.0
1700106776.762799152, FJ9876, 1.5, 3.0, 2.5
1700106776.763501821, DW5185, 3.0, 1.5, 2.5
1700106776.860327878, DW5188, 1.5, 0.0, 2.5
1700106776.861728449, HO2165, 3.0, 0.5, 1.0
1700106776.862496707, FJ9876, 1.5, 3.0, 2.5
1700106776.863173152, DW5185, 3.0, 1.5, 2.5
1700106776.960450713, DW5188, 1.5, 0.0, 2.5
1700106776.961746893, HO2165, 3.0, 0.5, 1.0
1700106776.962496456, FJ9876, 1.5, 3.0, 2.5
1700106776.963155259, DW5185, 3.0, 1.5, 2.5
1700106777.60513905, DW5188, 1.5, 0.0, 2.5
1700106777.61959458, HO2165, 3.0, 0.5, 1.0
1700106777.62751521, FJ9876, 1.5, 3.0, 2.5
1700106777.63496996, DW5185, 3.0, 1.5, 2.5
1700106777.161408587, DW5188, 1.5, 0.0, 2.5
1700106777.163545156, HO2165, 3.0, 0.5, 1.0
1700106777.164701919, FJ9876, 1.5, 3.0, 2.5
1700106777.165071299, DW5185, 3.0, 1.5, 2.5
1700106777.260814026, DW5188, 1.5, 0.0, 2.5
1700106777.262331674, HO2165, 3.0, 0.5, 1.0
1700106777.263167614, FJ9876, 1.5, 3.0, 2.5
1700106777.263893834, DW5185, 3.0, 1.5, 2.5
1700106777.360376438, DW5188, 1.5, 0.0, 2.5
1700106777.361566295, HO2165, 3.0, 0.5, 1.0
1700106777.362261999, FJ9876, 1.5, 3.0, 2.5
1700106777.362871327, DW5185, 3.0, 1.5, 2.5
1700106777.460572721, DW5188, 1.5, 0.0, 2.5
1700106777.462244886, HO2165, 3.0, 0.5, 1.0
1700106777.463160072, FJ9876, 1.5, 3.0, 2.5
1700106777.463962379, DW5185, 3.0, 1.5, 2.5
1700106777.561157074, DW5188, 1.5, 0.0, 2.5
1700106777.563026811, HO2165, 3.0, 0.5, 1.0
1700106777.563989165, FJ9876, 1.5, 3.0, 2.5
1700106777.564791497, DW5185, 3.0, 1.5, 2.5
1700106777.660758940, DW5188, 1.5, 0.0, 2.5
1700106777.662372084, HO2165, 3.0, 0.5, 1.0
1700106777.663229510, FJ9876, 1.5, 3.0, 2.5
1700106777.663980888, DW5185, 3.0, 1.5, 2.5
1700106777.760580661, DW5188, 1.5, 0.0, 2.5
1700106777.761969125, HO2165, 3.0, 0.5, 1.0
1700106777.762721978, FJ9876, 1.5, 3.0, 2.5
1700106777.763385425, DW5185, 3.0, 1.5, 2.5
1700106777.860912022, DW5188, 1.5, 0.0, 2.5
1700106777.862623438, HO2165, 3.0, 0.5, 1.0
1700106777.863524317, FJ9876, 1.5, 3.0, 2.5
1700106777.864335868, DW5185, 3.0, 1.5, 2.5
1700106777.961080071, DW5188, 1.5, 0.0, 2.5
1700106777.962949053, HO2165, 3.0, 0.5, 1.0
1700106777.963897941, FJ9876, 1.5, 3.0, 2.5
1700106777.964691878, DW5185, 3.0, 1.5, 2.5
1700106778.60579364, DW5188, 1.5, 0.0, 2.5
1700106778.62369612, HO2165, 3.0, 0.5, 1.0
1700106778.63289709, FJ9876, 1.5, 3.0, 2.5
1700106778.64103373, DW5185, 3.0, 1.5, 2.5
1700106778.160809834, DW5188, 1.5, 0.0, 2.5
1700106778.162410239, HO2165, 3.0, 0.5, 1.0
1700106778.163271883, FJ9876, 1.5, 3.0, 2.5
1700106778.164025047, DW5185, 3.0, 1.5, 2.5
1700106778.261125112, DW5188, 1.5, 0.0, 2.5
1700106778.262978554, HO2165, 3.0, 0.5, 1.0
1700106778.263936371, FJ9876, 1.5, 3.0, 2.5
1700106778.264822187, DW5185, 3.0, 1.5, 2.5
1700106778.360842260, DW5188, 1.5, 0.0, 2.5
1700106778.362437815, HO2165, 3.0, 0.5, 1.0
1700106778.363260861, FJ9876, 1.5, 3.0, 2.5
1700106778.364017157, DW5185, 3.0, 1.5, 2.5
1700106778.460934365, DW5188, 1.5, 0.0, 2.5
1700106778.462688399, HO2165, 3.0, 0.5, 1.0
1700106778.463569482, FJ9876, 1.5, 3.0, 2.5
1700106778.464354226, DW5185, 3.0, 1.5, 2.5
1700106778.560822876, DW5188, 1.5, 0.0, 2.5
1700106778.562409024, HO2165, 3.0, 0.5, 1.0
1700106778.563255245, FJ9876, 1.5, 3.0, 2.5
1700106778.563995287, DW5185, 3.0, 1.5, 2.5
1700106778.660590969, DW5188, 1.5, 0.0, 2.5
1700106778.662072840, HO2165, 3.0, 0.5, 1.0
1700106778.662885581, FJ9876, 1.5, 3.0, 2.5
1700106778.663596766, DW5185, 3.0, 1.5, 2.5
1700106778.760969365, DW5188, 1.5, 0.0, 2.5
1700106778.762669188, HO2165, 3.0, 0.5, 1.0
1700106778.763554090, FJ9876, 1.5, 3.0, 2.5
1700106778.764335513, DW5185, 3.0, 1.5, 2.5
1700106778.860980698, DW5188, 1.5, 0.0, 2.5
1700106778.862706261, HO2165, 3.0, 0.5, 1.0
1700106778.863596183, FJ9876, 1.5, 3.0, 2.5
1700106778.864383661, DW5185, 3.0, 1.5, 2.5
1700106778.961042521, DW5188, 1.5, 0.0, 2.5
1700106778.962757222, HO2165, 3.0, 0.5, 1.0
